Time,Amount(BTC)
2013-08-29,-116.9447959
2013-08-30,277.884116
2013-08-31,77.00694575
2013-09-01,54.00211302
2013-09-02,-766.7907827
2013-09-03,56.57538893
2013-09-04,213.0889996
2013-09-05,145.3648805
2013-09-06,273.2138023
2013-09-07,101.3027765
2013-09-08,457.4773415
2013-09-09,-212.6601745
2013-09-10,137.2675
2013-09-11,1600.529472
2013-09-12,1293.685933
2013-09-13,355.8186945
2013-09-14,182.7389303
2013-09-15,-66.65381702
2013-09-16,237.8353022
2013-09-17,365.856573
2013-09-18,440.4097097
2013-09-19,1248.842795
2013-09-20,-156.8922936
2013-09-21,109.4541179
2013-09-22,119.0012872
2013-09-23,2292.012234
2013-09-24,9.56948501
2013-09-25,1723.400624
2013-09-26,111.8245257
2013-09-27,186.5774677
2013-09-28,170.864175
2013-09-29,3419.140115
2013-09-30,64.82688996
2013-10-01,4248.124134
2013-10-02,292.3783591
2013-10-03,263.269019
2013-10-04,189.737268
2013-10-05,1341.76901
2013-10-06,75.20518828
2013-10-07,2361.082853
2013-10-08,66.73526396
2013-10-09,-11.85229788
2013-10-10,-76.29031731
2013-10-11,-9.567606
2013-10-12,46.47186911
2013-10-13,182.8673068
2013-10-14,169.6995662
2013-10-15,913.7405795
2013-10-16,320.4122908
2013-10-17,222.5736362
2013-10-18,186.4721918
2013-10-19,131.058412
2013-10-20,412.0827958
2013-10-21,309.1031695
2013-10-22,32.40145985
2013-10-23,107.2363161
2013-10-24,44.34917576
2013-10-25,305.3731234
2013-10-26,862.4387013
2013-10-27,129.9649926
2013-10-28,370.8257488
2013-10-29,466.9913837
2013-10-30,173.3480809
2013-10-31,44.07469662
2013-11-01,121.5101285
2013-11-02,292.7311903
2013-11-03,9.87052352
2013-11-04,572.8223646
2013-11-05,4499.33054
2013-11-06,239.8507607
2013-11-07,-366.2068116
2013-11-08,162.3004663
2013-11-09,-157.7777628
2013-11-10,116.9813373
2013-11-11,2078.900221
2013-11-12,132.8046134
2013-11-13,78.45620339
2013-11-14,258.6897421
2013-11-15,482.6834163
2013-11-16,260.766751
2013-11-17,-82.98695179
2013-11-18,1.21185627
2013-11-19,1865.751358
2013-11-20,1519.635663
2013-11-21,-149.2062665
2013-11-22,-93.61727504
2013-11-23,72.78664402
2013-11-24,108.8862811
2013-11-25,662.6313508
2013-11-26,-306.7385102
2013-11-27,3444.504741
2013-11-28,216.9167391
2013-11-29,2.0375363
2013-11-30,162.2124457
2013-12-01,-112.4249878
2013-12-02,-589.7453937
2013-12-03,3832.942933
2013-12-04,66.95648439
2013-12-05,168.5384307
2013-12-06,1491.697852
2013-12-07,5348.703786
2013-12-08,262.5225821
2013-12-09,198.6913442
2013-12-10,-47.19110814
2013-12-11,2972.919638
2013-12-12,665.7161027
2013-12-13,97.10002038
2013-12-14,234.7002446
2013-12-15,117.4384986
2013-12-16,1126.484504
2013-12-17,1162.69464
2013-12-18,4323.619726
2013-12-19,21316.32219
2013-12-20,2695.594939
2013-12-21,4791.498228
2013-12-22,-110.2043158
2013-12-23,933.4990266
2013-12-24,-72.95985514
2013-12-25,77.63024587
2013-12-26,229.7265243
2013-12-27,161.5088807
2013-12-28,-76.77712141
2013-12-29,8989.048448
2013-12-30,-457.4682098
2013-12-31,1437.060795
2014-01-01,596.6011136
2014-01-02,-159.1948257
2014-01-03,165.8131632
2014-01-04,-267.617517
2014-01-05,91.62555282
2014-01-06,30.85491396
2014-01-07,155.1583184
2014-01-08,-19.02689416
2014-01-09,195.8373286
2014-01-10,212.2381121
2014-01-11,3132.89924
2014-01-12,1055.664106
2014-01-13,195.3422771
2014-01-14,242.2589161
2014-01-15,358.790526
2014-01-16,2718.259581
2014-01-17,120.3407123
2014-01-18,-781.5757433
2014-01-19,71.25981292
2014-01-20,-64.48403782
2014-01-21,141.8472087
2014-01-22,-345.0460753
2014-01-23,1410.728983
2014-01-24,617.9676996
2014-01-25,55.63402942
2014-01-26,170.4016873
2014-01-27,-46.92512274
2014-01-28,722.2311444
2014-01-29,-361.6843274
2014-01-30,1167.080701
2014-01-31,85.75284261
2014-02-01,148.1943752
2014-02-02,431.5756787
2014-02-03,34.30259364
2014-02-04,-179.429458
2014-02-05,9840.019572
2014-02-06,268.835862
2014-02-07,104.373587
2014-02-08,1385.155509
2014-02-09,-143.5264551
2014-02-10,-65.43509868
2014-02-11,-128.3993086
2014-02-12,278.9824189
2014-02-13,-256.5199728
2014-02-14,437.851026
2014-02-15,195.8671238
2014-02-16,56.13882944
2014-02-17,-167.1118372
2014-02-18,-2510.70714
2014-02-19,225.3278602
2014-02-20,-396.8299043
2014-02-21,-62.29212727
2014-02-22,206.186242
2014-02-23,-130.4415536
2014-02-24,-263.3895603
2014-02-25,-76.06824806
2014-02-26,133.6204734
2014-02-27,118.6030192
2014-02-28,64.12139273
2014-03-01,35.18872466
2014-03-02,110.9546053
2014-03-03,513.2468101
2014-03-04,327.6575426
2014-03-05,1575.921482
2014-03-06,1782.463436
2014-03-07,871.8846119
2014-03-08,233.3540546
2014-03-09,25.53560152
2014-03-10,-13.84831795
2014-03-11,12.07064694
2014-03-12,124.3597883
2014-03-13,1478.746016
2014-03-14,766.6586635
2014-03-15,-9.40660773
2014-03-16,-129.0785667
2014-03-17,828.6271645
2014-03-18,127.0688261
2014-03-19,33.73532297
2014-03-20,50.51081897
2014-03-21,194.0868744
2014-03-22,228.3417503
2014-03-23,170.4637673
2014-03-24,235.9873212
2014-03-25,211.7282908
2014-03-26,1112.025006
2014-03-27,-265.3213096
2014-03-28,587.0459634
2014-03-29,-912.8295138
2014-03-30,-83.8821288
2014-03-31,1.16827825
2014-04-01,-80.87373497
2014-04-02,166.7118609
2014-04-03,35.63262446
2014-04-04,238.0056164
2014-04-05,151.3411228
2014-04-06,-63.76761672
2014-04-07,19.64339832
2014-04-08,-35.44531927
2014-04-09,22.98804896
2014-04-10,-49.50618492
2014-04-11,68.04068635
2014-04-12,41.04892953
2014-04-13,251.4129793
2014-04-14,764.239097
2014-04-15,905.2040574
2014-04-16,19974.4072
2014-04-17,193.5928047
2014-04-18,11.41209564
2014-04-19,143.9180452
2014-04-20,189.4957611
2014-04-21,58.3936234
2014-04-22,528.4825603
2014-04-23,17.66923368
2014-04-24,-52.70735284
2014-04-25,-0.78947038
2014-04-26,244.2489151
2014-04-27,361.399759
2014-04-28,-377.3625678
2014-04-29,387.7352701
2014-04-30,-77.91834155
2014-05-01,-169.206078
2014-05-02,107.5097892
2014-05-03,75.05777055
2014-05-04,88.31049679
2014-05-05,-112.9292134
2014-05-06,14.21288082
2014-05-07,-53.49572057
2014-05-08,406.1836486
2014-05-09,-113.8840756
2014-05-10,258.545465
2014-05-11,-176.2160772
2014-05-12,85.24244797
2014-05-13,503.7052402
2014-05-14,-16.81847619
2014-05-15,-283.5879105
2014-05-16,55.96680203
2014-05-17,20.6661067
2014-05-18,-1.09812027
2014-05-19,694.5786386
2014-05-20,250.101542
2014-05-21,171.5532828
2014-05-22,-290.7764504
2014-05-23,581.0178752
2014-05-24,3.92105027
2014-05-25,-381.2502148
2014-05-26,442.4886858
2014-05-27,53875.80363
2014-05-28,75.6130342
2014-05-29,-130.1021814
2014-05-30,357.3424145
2014-05-31,-123.6382584
2014-06-01,-124.4313583
2014-06-02,279.3661973
2014-06-03,-136.7639404
2014-06-04,51.87905694
2014-06-05,-112.9652926
2014-06-06,-68.56774474
2014-06-07,72.00429979
2014-06-08,-2029.050867
2014-06-09,1302.09283
2014-06-10,2540.641285
2014-06-11,66366.11031
2014-06-12,69102.50665
2014-06-13,-15.31012226
2014-06-14,297.8339414
2014-06-15,111.2790993
2014-06-16,73.39193668
2014-06-17,66.05463047
2014-06-18,-118.9125216
2014-06-19,-44.02924882
2014-06-20,199.4577466
2014-06-21,271.0377095
2014-06-22,166.1899454
2014-06-23,149.1979637
2014-06-24,343.2399099
2014-06-25,-85.95304404
2014-06-26,435.3889586
2014-06-27,307.679194
2014-06-28,301.151011
2014-06-29,-48.66727146
2014-06-30,259.5930786
2014-07-01,1216.33995
2014-07-02,-58.07336903
2014-07-03,-26.7567846
2014-07-04,79.96525499
2014-07-05,259.5582323
2014-07-06,145.7522308
2014-07-07,-13.47820763
2014-07-08,211.0853257
2014-07-09,290.0518567
2014-07-10,56.77396446
2014-07-11,69.47101732
2014-07-12,93.36698379
2014-07-13,106.1763577
2014-07-14,1.11998442
2014-07-15,48.31930251
2014-07-16,-143.9680305
2014-07-17,758.1536411
2014-07-18,581.667819
2014-07-19,198.5125205
2014-07-20,57.100063
2014-07-21,228.9086481
2014-07-22,151.99169
2014-07-23,-23.28832062
2014-07-24,11.83150068
2014-07-25,216.0374359
2014-07-26,32.84727469
2014-07-27,-1101.951447
2014-07-28,2640.133136
2014-07-29,11281.12161
2014-07-30,66.97331467
2014-07-31,28.08580838
2014-08-01,-704.134463
2014-08-02,2558.617513
2014-08-03,-23.40231732
2014-08-04,4927.020516
2014-08-05,115.254016
2014-08-06,253.3297661
2014-08-07,-1163.442559
2014-08-08,581.4948229
2014-08-09,91.44217398
2014-08-10,412.1041843
2014-08-11,125.532067
2014-08-12,149.8146978
2014-08-13,-1201.989071
2014-08-14,550.7693242
2014-08-15,158.3770852
2014-08-16,-101.1130246
2014-08-17,-21.95796857
2014-08-18,969.9530573
2014-08-19,95.82233957
2014-08-20,980.6187842
2014-08-21,188.4647368
2014-08-22,-187.3168998
2014-08-23,232.6313785
2014-08-24,-21.4681797
2014-08-25,166.119929
2014-08-26,114.5240855
2014-08-27,239.4413162
2014-08-28,265.6867073
2014-08-29,401.9515491
2014-08-30,512.9223273
2014-08-31,8.92033873
2014-09-01,-182.903522
2014-09-02,468.7271111
2014-09-03,-92.48800376
2014-09-04,111.9453264
2014-09-05,3165.554645
2014-09-06,122.5736228
2014-09-07,-75.22696723
2014-09-08,1009.349087
2014-09-09,-88.18668042
2014-09-10,540.1267305
2014-09-11,-1003.514426
2014-09-12,-31.54807476
2014-09-13,255.7788388
2014-09-14,424.1984744
2014-09-15,677.7654131
2014-09-16,110.6671738
2014-09-17,2361.925968
2014-09-18,192.2992521
2014-09-19,232.5941068
2014-09-20,303.8392836
2014-09-21,-410.6210051
2014-09-22,-68.84765801
2014-09-23,1960.300341
2014-09-24,-20.5863014
2014-09-25,-1006.088878
2014-09-26,28.48159278
2014-09-27,-70.81858863
2014-09-28,131.9607239
2014-09-29,-122.1397516
2014-09-30,912.8856362
2014-10-01,58.30057836
2014-10-02,270.2328095
2014-10-03,101.8073137
2014-10-04,35.64683787
2014-10-05,221.1332932
2014-10-06,-750.7882437
2014-10-07,80.07032623
2014-10-08,64.26892544
2014-10-09,98.71321674
2014-10-10,238.3405243
2014-10-11,-119.3369456
2014-10-12,112.1922049
2014-10-13,1344.792546
2014-10-14,24.23375577
2014-10-15,436.3709058
2014-10-16,-2.87140002
2014-10-17,205.6081497
2014-10-18,70.12324278
2014-10-19,267.7905189
2014-10-20,-60.96218289
2014-10-21,333.4502028
2014-10-22,86.62999985
2014-10-23,-23.46572029
2014-10-24,332.1889403
2014-10-25,406.6367044
2014-10-26,-250.2865333
2014-10-27,944.1270842
2014-10-28,-756.7686317
2014-10-29,-1683.586833
2014-10-30,318.5756278
2014-10-31,556.6229825
2014-11-01,36.25921323
2014-11-02,-140.8728566
2014-11-03,13.05675951
2014-11-04,60.81621644
2014-11-05,308.7180462
2014-11-06,264.2316984
2014-11-07,-38.63581055
2014-11-08,-255.0421717
2014-11-09,322.0347472
2014-11-10,976.8334971
2014-11-11,-139.9143477
2014-11-12,80.83604662
2014-11-13,283.0442827
2014-11-14,616.8939836
2014-11-15,-90.50541228
2014-11-16,-6.22267899
2014-11-17,551.2624549
2014-11-18,297.439252
2014-11-19,-339.1391327
2014-11-20,-239.2363968
2014-11-21,25.42207635
2014-11-22,-60.22761929
2014-11-23,80.6068753
2014-11-24,-56.4651109
2014-11-25,1837.77465
2014-11-26,582.4514017
2014-11-27,-255.2132715
2014-11-28,2.70514737
2014-11-29,197.3883959
2014-11-30,1329.362609
2014-12-01,-57.16513518
2014-12-02,121.6752423
2014-12-03,2111.275579
2014-12-04,-380.9262078
2014-12-05,130.9128997
2014-12-06,-249.0176761
2014-12-07,-193.445884
2014-12-08,324.9163523
2014-12-09,40.09140496
2014-12-10,225.3027869
2014-12-11,108.5329292
2014-12-12,123.9067541
2014-12-13,-13.1003662
2014-12-14,422.3216889
2014-12-15,-199.7371209
2014-12-16,909.4045669
2014-12-17,-116.6635932
2014-12-18,1158.545578
2014-12-19,-78.76752389
2014-12-20,-156.1775609
2014-12-21,-383.5603767
2014-12-22,2114.466334
2014-12-23,69.88154891
2014-12-24,-6.27006579
2014-12-25,55.39835271
2014-12-26,371.2159966
2014-12-27,-111.917663
2014-12-28,2120.565937
2014-12-29,-190.0225602
2014-12-30,165.4523579
2014-12-31,119.2715774
2015-01-01,170.8278533
2015-01-02,273.4603072
2015-01-03,-193.2304412
2015-01-04,246.4053356
2015-01-05,-697.2710136
2015-01-06,9996.938636
2015-01-07,-21.3922306
2015-01-08,273.5126441
2015-01-09,-186.8883412
2015-01-10,-24.61965088
2015-01-11,159.4243472
2015-01-12,121.8123624
2015-01-13,1320.846017
2015-01-14,153.9897524
2015-01-15,-580.1675161
2015-01-16,1119.845298
2015-01-17,106.4651361
2015-01-18,-217.1479806
2015-01-19,1908.915532
2015-01-20,80.35545766
2015-01-21,113.4463604
2015-01-22,-190.6009723
2015-01-23,-13.99655601
2015-01-24,525.171116
2015-01-25,-152.5685155
2015-01-26,-351.4246864
2015-01-27,-21.80786311
2015-01-28,296.6047125
2015-01-29,-215.7716936
2015-01-30,208.6464089
2015-01-31,262.6184596
2015-02-01,61.26405617
2015-02-02,-93.76779409
2015-02-03,967.3156213
2015-02-04,194.7497388
2015-02-05,183.0573009
2015-02-06,-34.26045818
2015-02-07,1026.626265
2015-02-08,-284.4545045
2015-02-09,44.74899865
2015-02-10,-105.6227274
2015-02-11,2440.695676
2015-02-12,262.0550689
2015-02-13,129.0748339
2015-02-14,34.49176083
2015-02-15,-2.47767776
2015-02-16,104.0705229
2015-02-17,1682.458198
2015-02-18,294.512771
2015-02-19,65.73729265
2015-02-20,1018.072806
2015-02-21,-97.51476248
2015-02-22,-135.6676147
2015-02-23,48.80231805
2015-02-24,98.216066
2015-02-25,-7.00500275
2015-02-26,63.49511017
2015-02-27,48.22499979
2015-02-28,1158.360334
2015-03-01,-150.2125421
2015-03-02,145.8000263
2015-03-03,2246.603217
2015-03-04,76.18079495
2015-03-05,43.7537528
2015-03-06,104.5253282
2015-03-07,1353.437027
2015-03-08,-20.73334929
2015-03-09,-35.01458713
2015-03-10,-68.84417189
2015-03-11,415.9939295
2015-03-12,595.5939344
2015-03-13,154.8197603
2015-03-14,-277.6802338
2015-03-15,-136.1089989
2015-03-16,2968.591781
2015-03-17,-3008.609966
2015-03-18,325.4367676
2015-03-19,338.1772504
2015-03-20,132.8286179
2015-03-21,226.8370304
2015-03-22,27.2207835
2015-03-23,100.9319423
2015-03-24,-738.8419089
2015-03-25,231.3376846
2015-03-26,60.32395023
2015-03-27,514.5498226
2015-03-28,-153.0733191
2015-03-29,-183.2877035
2015-03-30,-228.6939574
2015-03-31,170.9219839
2015-04-01,276.4058774
2015-04-02,237.3240376
2015-04-03,-379.5019211
2015-04-04,59.50406064
2015-04-05,92.67015331
2015-04-06,-44.5525639
2015-04-07,335.0783661
2015-04-08,490.091899
2015-04-09,290.6126993
2015-04-10,38.90599651
2015-04-11,114.593833
2015-04-12,-239.9276882
2015-04-13,-31.6293882
2015-04-14,497.9652275
2015-04-15,132.4776945
2015-04-16,-25.15202876
2015-04-17,-41.25178306
2015-04-18,449.7919039
2015-04-19,-524.544465
2015-04-20,652.5705559
2015-04-21,321.5536346
2015-04-22,453.846672
2015-04-23,-169.0437668
2015-04-24,-574.7999629
2015-04-25,-202.7949655
2015-04-26,-54.23604475
2015-04-27,240.17326
2015-04-28,191.1150295
2015-04-29,-264.3365173
2015-04-30,-184.2966804
2015-05-01,-246.4071659
2015-05-02,98.86770571
2015-05-03,-61.33608956
2015-05-04,-82.71105912
2015-05-05,286.0028261
2015-05-06,101.637748
2015-05-07,178.1788999
2015-05-08,357.0583893
2015-05-09,-96.06849866
2015-05-10,310.6094428
2015-05-11,-183.0351957
2015-05-12,311.3775345
2015-05-13,-128.7497454
2015-05-14,-23.76613786
2015-05-15,42.45370678
2015-05-16,25.92866116
2015-05-17,230.9688277
2015-05-18,178.1956546
2015-05-19,11.28677535
2015-05-20,-54.90716373
2015-05-21,288.5610438
2015-05-22,610.3292998
2015-05-23,-221.7718407
2015-05-24,-61.91857396
2015-05-25,165.77654
2015-05-26,112.3615098
2015-05-27,109.1639481
2015-05-28,-119.5554857
2015-05-29,-943.9874804
2015-05-30,46.44272451
2015-05-31,-240.1309662
2015-06-01,-70.10811254
2015-06-02,257.1235214
2015-06-03,-350.4148099
2015-06-04,339.798799
2015-06-05,165.8462446
2015-06-06,234.7666409
2015-06-07,72.43183894
2015-06-08,-226.4358642
2015-06-09,-65.66812584
2015-06-10,18.11144986
2015-06-11,-139.4975439
2015-06-12,-4.64313687
2015-06-13,-146.0178463
2015-06-14,89.00302762
2015-06-15,-29.35487921
2015-06-16,-24.37902986
2015-06-17,474.2900646
2015-06-18,-46.30266806
2015-06-19,968.2906815
2015-06-20,23.48308258
2015-06-21,-126.3786203
2015-06-22,138.1066806
2015-06-23,270.1082809
2015-06-24,496.547793
2015-06-25,113.9676433
2015-06-26,-62.84474228
2015-06-27,-69.42719268
2015-06-28,-26.47038547
2015-06-29,-42.57195904
2015-06-30,-601.4728799
2015-07-01,-51.02866282
2015-07-02,179.3951428
2015-07-03,220.235985
2015-07-04,-33.11773599
2015-07-05,-224.1716852
2015-07-06,-450.4721125
2015-07-07,283.0036376
2015-07-08,-88.4047887
2015-07-09,-678.822507
2015-07-10,47.33184878
2015-07-11,-35.46309536
2015-07-12,-92.03251779
2015-07-13,-101.5165407
2015-07-14,-84.22845699
2015-07-15,-181.4271627
2015-07-16,587.6312206
2015-07-17,538.4871002
2015-07-18,10.03051798
2015-07-19,259.4073607
2015-07-20,-3.56440275
2015-07-21,342.57109
2015-07-22,102.4520773
2015-07-23,-144.2429204
2015-07-24,315.9704954
2015-07-25,284.0459581
2015-07-26,-110.39173
2015-07-27,-173.8656496
2015-07-28,37.92558639
2015-07-29,-4.19348648
2015-07-30,67.7297216
2015-07-31,50.81773456
2015-08-01,300.9208339
2015-08-02,28.90955902
2015-08-03,-195.6933102
2015-08-04,385.6765711
2015-08-05,74.34614729
2015-08-06,105.5512306
2015-08-07,465.5658673
2015-08-08,-23.40458821
2015-08-09,-193.94531
2015-08-10,545.5634037
2015-08-11,1015.984664
2015-08-12,561.8712304
2015-08-13,388.4422744
2015-08-14,252.314723
2015-08-15,182.2769698
2015-08-16,364.1678836
2015-08-17,725.6432641
2015-08-18,251.7901895
2015-08-19,-385.3187451
2015-08-20,48.16360961
2015-08-21,1009.339513
2015-08-22,144.8282024
2015-08-23,-321.3228493
2015-08-24,524.9056174
2015-08-25,3066.2641
2015-08-26,1580.022407
2015-08-27,664.2267307
2015-08-28,577.1026339
2015-08-29,-1230.126238
2015-08-30,1004.654687
2015-08-31,-1996.92527
2015-09-01,-377.3161513
2015-09-02,174.5267127
2015-09-03,-713.5714403
2015-09-04,-35.8310974
2015-09-05,-158.731515
2015-09-06,-64.57273206
2015-09-07,63.50409941
2015-09-08,450.9734642
2015-09-09,312.3422056
2015-09-10,3.17342065
2015-09-11,84.36776555
2015-09-12,-27.72326912
2015-09-13,268.9630834
2015-09-14,-30.59824961
2015-09-15,-513.6537554
2015-09-16,680.3673003
2015-09-17,71.32843384
2015-09-18,-991.1308108
2015-09-19,25.17701175
2015-09-20,53.1150299
2015-09-21,-201.5144718
2015-09-22,136.868715
2015-09-23,124.4843642
2015-09-24,480.375565
2015-09-25,292.8738249
2015-09-26,192.0203517
2015-09-27,568.242636
2015-09-28,-22.07867642
2015-09-29,199.8406593
2015-09-30,-249.1020015
2015-10-01,-1.53528541
2015-10-02,-5.63765431
2015-10-03,77.33717301
2015-10-04,102.1112211
2015-10-05,-416.0761703
2015-10-06,-52.4875412
2015-10-07,-18.57917101
2015-10-08,-52.82601595
2015-10-09,124.5168341
2015-10-10,167.4219555
2015-10-11,-48.07309231
2015-10-12,89.13922487
2015-10-13,255.6993241
2015-10-14,127.8274629
2015-10-15,330.8578274
2015-10-16,-125.965103
2015-10-17,94.72593928
2015-10-18,9.98301557
2015-10-19,-338.7148084
2015-10-20,-482.429102
2015-10-21,-390.208543
2015-10-22,225.1696813
2015-10-23,1201.337406
2015-10-24,1058.378329
2015-10-25,73.31270837
2015-10-26,-1435.889995
2015-10-27,-725.258716
2015-10-28,-14.64735018
2015-10-29,1195.817974
2015-10-30,270.9745586
2015-10-31,295.7063462
2015-11-01,136.0642272
2015-11-02,16.94470537
2015-11-03,-715.0907144
2015-11-04,-655.0978208
2015-11-05,1156.112562
2015-11-06,2201.967424
2015-11-07,566.8732901
2015-11-08,-56.60139391
2015-11-09,-825.7042765
2015-11-10,103.7276896
2015-11-11,85.67886364
2015-11-12,1999.118517
2015-11-13,1459.399933
2015-11-14,427.4083515
2015-11-15,625.1396445
2015-11-16,20110.74628
2015-11-17,10087.75881
2015-11-18,45.05389375
2015-11-19,644.5152223
2015-11-20,567.1298696
2015-11-21,284.2086019
2015-11-22,284.6391568
2015-11-23,313.1641744
2015-11-24,61.61090279
2015-11-25,-86.01005774
2015-11-26,161.8381438
2015-11-27,-2.38793908
2015-11-28,173.5087673
2015-11-29,65.98215184
2015-11-30,-748.5391747
2015-12-01,-326.6114436
2015-12-02,137.3929044
2015-12-03,324.7851842
2015-12-04,201.5783628
2015-12-05,323.7785812
2015-12-06,375.8255454
2015-12-07,-118.1438895
2015-12-08,496.5571082
2015-12-09,-425.9884592
2015-12-10,560.4171079
2015-12-11,3966.7698
2015-12-12,276.8763203
2015-12-13,-199.6196604
2015-12-14,161.4611897
2015-12-15,-399.301598
2015-12-16,197.3094726
2015-12-17,2.58995916
2015-12-18,920.7494013
2015-12-19,947.8514889
2015-12-20,313.5924898
2015-12-21,-1643.196929
2015-12-22,-315.4699052
2015-12-23,294.3385099
2015-12-24,249.4846287
2015-12-25,25.88023587
2015-12-26,-750.6083202
2015-12-27,745.3229475
2015-12-28,40.30840724
2015-12-29,151.1713143
2015-12-30,1160.646147
2015-12-31,-20129.99242
2016-01-01,-198.6008156
2016-01-02,174.0125796
2016-01-03,-8.7541021
2016-01-04,1781.250312
2016-01-05,-3727.272572
2016-01-06,641.6875284
2016-01-07,5213.988416
2016-01-08,123.5380334
2016-01-09,93.34906063
2016-01-10,4393.420405
2016-01-11,1292.381116
2016-01-12,14832.32115
2016-01-13,510.0588184
2016-01-14,424.0889449
2016-01-15,1292.467878
2016-01-16,53.42285819
2016-01-17,-31.01465184
2016-01-18,2035.601857
2016-01-19,1292.839453
2016-01-20,728.0376377
2016-01-21,-479.2456692
2016-01-22,507.9487753
2016-01-23,8535.691918
2016-01-24,172.5939356
2016-01-25,6773.289735
2016-01-26,2080.275504
2016-01-27,2525.301648
2016-01-28,1341.418724
2016-01-29,1190.836345
2016-01-30,493.055594
2016-01-31,-962.6146621
2016-02-01,1823.337514
2016-02-02,895.5264388
2016-02-03,738.1427067
2016-02-04,1056.920523
2016-02-05,10098.11694
2016-02-06,6078.965093
2016-02-07,799.8101051
2016-02-08,240.1540731
2016-02-09,616.6455541
2016-02-10,3036.2309
2016-02-11,2152.479
2016-02-12,61.1743848
2016-02-13,1362.203981
2016-02-14,902.9274196
2016-02-15,1392.67714
2016-02-16,-2539.806125
2016-02-17,-1386.644379
2016-02-18,710.656218
2016-02-19,288.4951319
2016-02-20,-484.2039139
2016-02-21,1020.149089
2016-02-22,429.2134194
2016-02-23,3242.486775
2016-02-24,-1833.337603
2016-02-25,552.3611403
2016-02-26,153.6838704
2016-02-27,21.27198611
2016-02-28,1259.379388
2016-02-29,627.8725525
2016-03-01,-354.859953
2016-03-02,205.1565492
2016-03-03,3590.456247
2016-03-04,1922.921291
2016-03-05,2896.011001
2016-03-06,7583.13854
2016-03-07,604.0927296
2016-03-08,94.16830249
2016-03-09,-45.29080342
2016-03-10,2749.015344
2016-03-11,-692.8631009
2016-03-12,997.202288
2016-03-13,1612.050168
2016-03-14,-1103.991421
2016-03-15,1745.713082
2016-03-16,1108.962853
2016-03-17,-1619.145381
2016-03-18,-1789.374122
2016-03-19,1155.948602
2016-03-20,-45.89964232
2016-03-21,2910.866297
2016-03-22,-1729.50304
2016-03-23,408.1805397
2016-03-24,-2525.243828
2016-03-25,1111.571841
2016-03-26,1007.59538
2016-03-27,1113.270226
2016-03-28,-2620.389873
2016-03-29,-1293.947267
2016-03-30,1305.922623
2016-03-31,215.2194083
2016-04-01,-3158.099877
2016-04-02,1443.168766
2016-04-03,2175.34507
2016-04-04,2359.640959
2016-04-05,-639.3330515
2016-04-06,2420.223446
2016-04-07,2196.434515
2016-04-08,-4046.800336
2016-04-09,777.4581886
2016-04-10,1086.725763
2016-04-11,268.4813067
2016-04-12,3423.239802
2016-04-13,-1675.250242
2016-04-14,288.8690555
2016-04-15,1416.255665
2016-04-16,293.7374803
2016-04-17,1325.030784
2016-04-18,1885.746858
2016-04-19,917.8897664
2016-04-20,1173.673983
2016-04-21,-4814.348552
2016-04-22,2339.108496
2016-04-23,1036.013099
2016-04-24,189.3148787
2016-04-25,-1506.48902
2016-04-26,4062.718038
2016-04-27,501.1496056
2016-04-28,1309.516197
2016-04-29,1496.685136
2016-04-30,3126.206119
2016-05-01,304.7982231
2016-05-02,-9146.36274
2016-05-03,1836.658822
2016-05-04,348.6964262
2016-05-05,794.5744355
2016-05-06,279.5343846
2016-05-07,3198.833204
2016-05-08,-1602.359564
2016-05-09,111.1435045
2016-05-10,76.21058252
2016-05-11,716.8556586
2016-05-12,1722.966396
2016-05-13,834.9141517
2016-05-14,1706.291158
2016-05-15,285.00462
2016-05-16,-302.2022146
2016-05-17,2362.128763
2016-05-18,1093.466922
2016-05-19,8247.898405
2016-05-20,403.8074938
2016-05-21,2744.78456
2016-05-22,918.2419844
2016-05-23,3868.611083
2016-05-24,195.2631973
2016-05-25,1133.25128
2016-05-26,1083.814549
2016-05-27,-2196.858632
2016-05-28,-3391.252326
2016-05-29,-4588.712838
2016-05-30,-462.1202411
2016-05-31,-9346.681134
2016-06-01,817.5038759
2016-06-02,207.9346776
2016-06-03,-663.6298606
2016-06-04,554.7643665
2016-06-05,394.4870497
2016-06-06,-1427.450298
2016-06-07,146.2154843
2016-06-08,475.7131324
2016-06-09,155.041508
2016-06-10,-2457.542109
2016-06-11,537.0489959
2016-06-12,-6832.095776
2016-06-13,-81.22369339
2016-06-14,5779.213236
2016-06-15,2013.867811
2016-06-16,-1698.752691
2016-06-17,1774.644922
2016-06-18,1749.971987
2016-06-19,657.1630679
2016-06-20,558.9735314
2016-06-21,1569.833425
2016-06-22,30.51386648
2016-06-23,1994.966442
2016-06-24,867.3789596
2016-06-25,188.0424768
2016-06-26,239.6941408
2016-06-27,1048.07226
2016-06-28,728.9851877
2016-06-29,2448.024644
2016-06-30,885.604767
2016-07-01,-494.3972705
2016-07-02,1049.130852
2016-07-03,224.8973702
2016-07-04,-2801.756302
2016-07-05,788.3192803
2016-07-06,-42.4462778
2016-07-07,546.5952588
2016-07-08,1786.150067
2016-07-09,2605.472222
2016-07-10,-393.3186044
2016-07-11,79.91717211
2016-07-12,796.3207897
2016-07-13,-59.41071282
2016-07-14,345.629793
2016-07-15,443.1633072
2016-07-16,49.05979263
2016-07-17,420.231844
2016-07-18,-121.72467
2016-07-19,-46.72992295
